Jurisdiction,AbbreviatedDistrict,Full District Name,Type of Zoning District ,Is it an Overlay District?,1-Family,2-Family,3-Family,4+-Family,1-Family Min. Lot (ACRES),2-Family Min. Lot (ACRES),3-Family Min. Lot (ACRES),4+-Family Min. Lot (ACRES)
Ashford,RA,Residential/Agricultural,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,2,3,,
Ashford,TD,Technology Development,Mixed with Residential,No,Special Permit,Special Permit,Prohibited,Prohibited,,,,
Avon,A,Agricultural,Mixed with Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,0.92,0.92,,
Avon,CPA,Commercial Park A,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Avon,CPB,Commercial Park B,Mixed with Residential,No,Prohibited,Special Permit,Special Permit,Special Permit,,5,5,5
Avon,CR,Commercial Retail,Mixed with Residential,No,Special Permit,Special Permit,Prohibited,Prohibited,30,30,,
Avon,CS,Commercial Specialized,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Avon,EL,Educational Land,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Avon,I,Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Avon,IP,Industrial Park,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Avon,NB,Neighborhood Business,Mixed with Residential,No,Special Permit,Prohibited,Prohibited,Prohibited,1.37741046831955,,,
Avon,OP,Office Park,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Avon,R-15,Residential R-15,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,0.34,0.34,,
Avon,R-30,Residential R-30,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,0.69,0.69,,
Avon,R-40,Residential R-40,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,0.92,0.92,,
Avon,ROS,Recreation Open Space,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Avon,RU-2A,Residential RU-2A,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,2,2,,
Barkhamsted,B-1,Restricted Business,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Barkhamsted,B-2,General Business,Mixed with Residential,No,Prohibited,Special Permit,Prohibited,Prohibited,,,,
Barkhamsted,I-1,Restricted Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Barkhamsted,I-2,General Industrial,Mixed with Residential,No,Prohibited,Special Permit,Special Permit,Special Permit,,,,
Barkhamsted,I-3,Special Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Barkhamsted,RA-2,Residence,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,2,10,10,10
Barkhamsted,RC/PVC,Riverton Center & Pleasant Valley Center Special Design,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,,10,10,10
Beacon Falls,B-1,Business No. 1,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.92,1.38,,
Beacon Falls,I-1,Industrial No. 1,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Beacon Falls,IPD,Industrial Park,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Beacon Falls,PARD-1,Planned Adaptive Reuse Development 1,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Special Permit,,,,8.08
Beacon Falls,PARD-2,Planned Adaptive Reuse Development 2,Primarily Residential,No,Prohibited,Special Permit,Prohibited,Prohibited,,29.7,,
Beacon Falls,PARD-3,Planned Adaptive Reuse Development 3,Primarily Residential,No,Special Permit,Special Permit,Prohibited,Prohibited,143,143,,
Beacon Falls,PARD-4,Planned Adaptive Reuse Development 4,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Beacon Falls,R-1,Residential R-1,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,1.03,1.84,,
Beacon Falls,R-2,Residential R-2,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,".92 if septic/well, .69 if either septic or well, .26 w/public water",1.38,,
Beacon Falls,R-3,Residential R-3,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,".92 if septic/well, .46 if either septic or well, .17 w/public water",".46 if water/sewer, .29 w/o water/sewer",,
Beacon Falls,SF,State Forest,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,Aquifer Protection Area,Aquifer Protection Area,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Berlin,BT-1,Berlin Turnpike-1,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,BT-2,Berlin Turnpike-2,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,CCD-1,Commercial Core-1,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Special Permit,,,,2
Berlin,CCD-2,Commercial Core-2,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Special Permit,,,,4
Berlin,GC,General Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,GI,General Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,GI-2,General Industrial-2,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,HDOZ,Historic Overlay,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Berlin,KO,Kensington Overlay,Mixed with Residential,Yes,Overlay,Overlay,Special Permit,Special Permit,,,1,1
Berlin,MR-1,Mountain Reserve-1,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,3,,,
Berlin,MR-2,Mountain Reserve-2,Primarily Residential,No,Allowed/Conditional,Prohibited,Special Permit,Special Permit,3,,60,60
Berlin,OP,Office Professional,Primarily Residential,Yes,Allowed/Conditional,Prohibited,Prohibited,Special Permit,0.34,,,
Berlin,OT,Office Technology,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,OT-2,Office Tecnhology-2,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,PI,Planned Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,PI-2,Planned Industrial-2,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,POD,Planned Office Development,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,POR,Planned Office Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Special Permit,0.48,,,3
Berlin,PR-1,Planned Residential-1,Primarily Residential,Yes,Allowed/Conditional,Prohibited,Special Permit,Special Permit,,,20,20
Berlin,PR-2,Planned Residential-2,Primarily Residential,Yes,Allowed/Conditional,Prohibited,Special Permit,Special Permit,,,7,7
Berlin,PR-3,Planned Residential-3,Primarily Residential,Yes,Allowed/Conditional,Prohibited,Special Permit,Special Permit,,,5,5
Berlin,PS-A,Planned Shopping-A,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,PS-B,Planned Shopping-B,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,R-11,Residence 11,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Special Permit,0.26,,,4
Berlin,R-15,Residence 15,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.34,4,4,4
Berlin,R-21,Residence 21,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.48,4,4,4
Berlin,R-43,Residence 43,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.99,4,4,4
Berlin,R-7,Residence 7,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Special Permit,0.17,0.23,,4
Berlin,R-86,Residence 86,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,1.97,4,4,4
Berlin,SP-DD,Special Design-Regional Center,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,SP-DD 2,Special Design 2-Berlin Turnpike Overlay,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,SP-DD Overlay,Special Design Regional Center Overlay,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Berlin,VDO,Village Overlay,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Bethany,B-I,Business & Industrial,Mixed with Residential,No,Special Permit,Prohibited,Prohibited,Prohibited,1.49,,,
Bethany,HOD,Housing Opportunity Development,Primarily Residential,No,Special Permit,Special Permit,Special Permit,Prohibited,30,30,30,
Bethany,R-130,Residential R-130,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,2.98,,,
Bethany,R-65,Residential R-65,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.49,,,
Bethel,Aquifer Protection Overlay,Aquifer Protection Overlay,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Bethel,C,Commercial,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.23,,,
Bethel,DCD,Designed Conservation,Primarily Residential,Yes,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.14,0.14,0.14,0.14
Bethel,EP,Educational Park,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bethel,Floodplain Overlay,Floodplain Overlay,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Bethel,I,Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bethel,IP,Industrial Park,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bethel,PRD,Planned Residential Development,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
Bethel,R-10,R-10 Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Special Permit,0.23,,,4
Bethel,R-20,R-20 Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.46,,,
Bethel,R-30,R-30 Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.69,,,
Bethel,R-40,R-40 Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.92,,,
Bethel,R-80,R-50 Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.84,,,
Bethel,RM-O,Residential Multi-Office,Primarily Residential,No,Allowed/Conditional,Prohibited,Special Permit,Special Permit,0.23,,0.34,
Bethel,RR-10,RR-10 Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.23,,,
Bethel,RT6,Route 6 Business,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Special Permit,,,,0.92
Bethel,VC,Village Center,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.23,,,
Bethel,Village District Overlay,Village Overlay,Primarily Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Bethlehem,Subdivision Regs,Subdivision Regs ,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,1.75,1.75,,
Bloomfield,BCD,Bloomfield Center,Mixed with Residential,No,Special Permit,Prohibited,Special Permit,Prohibited,,,,
Bloomfield,Center SDD,Bloomfield Center Special Development,Mixed with Residential,No,Allowed/Conditional,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
Bloomfield,DDZ,Design Development I,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,0.46,0.46,20,20
Bloomfield,Gateway,Gateway,Mixed with Residential,No,Prohibited,Prohibited,Special Permit,Special Permit,,,,
Bloomfield,IND-1,I-1 General Industry,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bloomfield,IND-2,I-2 Restricted Industry,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bloomfield,MFER,Multifamily Elderly Residential,Primarily Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
Bloomfield,PEC,Planned Elderly Congregate,Primarily Residential,No,Special Permit,Prohibited,Special Permit,Special Permit,,,30,30
Bloomfield,PLR,Planned Luxury Residential,Primarily Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
Bloomfield,PO,Professional Office POD,Mixed with Residential,No,Prohibited,Prohibited,Special Permit,Prohibited,,,2,
Bloomfield,R-10,R-10 Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.229568411386593,0.344352617079889,,
Bloomfield,R-15,R-15 Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.344352617079889,0.459136822773186,,
Bloomfield,R-20,R-20 Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.459136822773186,0.688705234159779,,
Bloomfield,R-30,R-30 Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.688705234159779,,,
Bloomfield,R-40,R-40 Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.918273645546372,,,
Bloomfield,R-80,R-80 Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.83654729109274,,,
Bloomfield,TMOD,Talcott Mountain Overlay,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bolton,GB,General Buiness,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bolton,GMUIZ,Gateway Mixed Use Industrial,Mixed with Residential,No,Prohibited,Prohibited,Special Permit,Special Permit,2.7548,,,
Bolton,I,Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bolton,NB,Neighborhood Business,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.92,,,
Bolton,R-1,Residence R-1,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.92,1.377,,
Bolton,R-2,Residence R-2,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,0.92,1.377,1.38,
Bolton,R-3,Residence R-3,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.52,,,
Bolton,RMUZ,Rural Mixed Use,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,1.83654,,,
Bozrah,Commercial,Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bozrah,Commercial/Residential,Commercial/Residential,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Allowed/Conditional,1.837,,,5
Bozrah,Highway Commercial,Highway Commercial,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Allowed/Conditional,,,,1.837
Bozrah,I-30,Industrial-30,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bozrah,I-80,Industrial-80,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bozrah,R-1,R-1 Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.837,,,
Bozrah,R-2,R-2 Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Allowed/Conditional,1.837,1.837,,5
Bozrah,RU-1,RU-1 Rural Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.837,,,
Branford,AMOD,Access Management,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Branford,ARHD,Age-Restricted Housing,Primarily Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,5,5,5,5
Branford,BC,Center Business,Mixed with Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,,,,
Branford,BL,Local Business,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Branford,BR,Restricted Business,Mixed with Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.14,0.14,2.75,2.75
Branford,CP,Commerce Park,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Branford,IG-1,General Industry 1,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Branford,IG-2,General Industry 2,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Branford,IHOD,Incentive Housing Overlay,Primarily Residential,Yes,Special Permit,Special Permit,Special Permit,Special Permit,,,,
Branford,MF,Multifamily Residence,Primarily Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,3,3,3,3
Branford,MU,Mixed Use,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,0.34,0.34,0.34,0.34
Branford,PDD,Planned Development,Primarily Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,1.4,1.4,1.4,1.4
Branford,R-1,Residence R-1,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.14,0.14,0.14,0.14
Branford,R-2,Residence R-2,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.1,0.1,0.1,0.1
Branford,R-3,Residence R-3,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.34,,,
Branford,R-4,Residence R-4,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.46,,,
Branford,R-5,Residence R-5,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.92,,,
Branford,TCVD,Town Center Village,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Branford - Pine Orchard ,A-1,A-1,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.46,,,
Branford - Pine Orchard ,A-2,A-2,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.21,,,
Branford - Pine Orchard ,A-3,A-3,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.17,,,
Branford - Pine Orchard ,A-4 ,A-4,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.1,,,
Branford - Pine Orchard ,AA-1,AA-1,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.92,,,
Branford - Short Beach,SB-A,Residence A,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,0.17,0.34,,
Branford - Short Beach,SB-B,Residence B,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,0.1,0.2,,
Branford - Short Beach,SB-C,Business C,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,0.1,,,
Bridgeport,CVOD,Commercial Village Overlay,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Bridgeport,DVD-BLVD,Downtown Boulevard Village,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,0.23,0.23,0.23,0.23
Bridgeport,DVD-CIVIC,Downtown Civic Village,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.11,0.11,0.11,0.11
Bridgeport,DVD-CORE,Downtown Core Village,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.03,0.03,0.03,0.03
Bridgeport,DVD-TOD,Downtown Transit-Oriented Development Village,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.15,0.15,0.15,0.15
Bridgeport,DVD-WF,Downtown Waterfront Village,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.11,0.11,0.11,0.11
Bridgeport,I-H,Industrial-Heavy,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bridgeport,I-L,Industrial-Light,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bridgeport,MU-EM,Mixed Use Educational/Medical,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Allowed/Conditional,,,,0.11
Bridgeport,MU-LI,Mixed Use Light Industrial,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Special Permit,,,,
Bridgeport,MU-W,Mixed Use Waterfront,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Allowed/Conditional,,,,10
Bridgeport,NCVD,Neighborhood Center Village,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.15,0.15,0.15,
Bridgeport,OR,Office/Retail,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Allowed/Conditional,,,,0.11
Bridgeport,OR-G,Office/Retail General,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Allowed/Conditional,,,,0.23
Bridgeport,OR-R,Office/Retail Regional,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Allowed/Conditional,,,,0.23
Bridgeport,PDD,Planned Development,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Allowed/Conditional,,,,
Bridgeport,R-A,Residential Single Family R-A,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.21,,,
Bridgeport,R-AA,Residential Single Family R-AA,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.26,,,
Bridgeport,R-B,Residential Two Family,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.17,0.17,,
Bridgeport,R-BB,Residential Two and Three Family,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Prohibited,0.21,0.21,0.21,0.21
Bridgeport,R-C,Residential Multifamily,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Special Permit,0.21,0.21,0.21,0.23
Bridgeport,R-CC,Residential High Density,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,0.23,0.23,0.15
Bridgeport,Z-P,Zoological Park,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bridgeport ,DX1,Downtown Core,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
Bridgeport ,DX2,Downtown Edge,Mixed with Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
Bridgeport ,MX1,Mixed Use Corridor,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
Bridgeport ,MX2,Mixed Use Corridor,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
Bridgeport ,MXN,Mixed Use Neighborhood Corners,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
Bridgeport ,RX1,Residential-Office Corridor,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
Bridgeport ,RX2,Residential-Office Center,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
Bridgeport ,N1,Traditional Neighborhood,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,,,,
Bridgeport ,N2,Mid-Century Neighborhood,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,,,,
Bridgeport ,N3,Estates,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.21,,,
Bridgeport ,N4,Suburban Neighborhood,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.17,,,
Bridgeport ,NX1,Neighborhood Mix 1,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
Bridgeport ,NX2,Neighborhood Mix 2,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
Bridgeport ,NX3,Mixed Residential 1,Primarily Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
Bridgeport ,NX4,Mixed Residential 2,Primarily Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
Bridgeport ,CX,Heavy Commercial-Wholesale,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bridgeport ,IX,Office-Industrial Center,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bridgeport ,I,Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bridgeport ,P1,Parks and Open Space,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bridgeport ,P2,Civic and Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bridgeport ,P3,Institutional Campus,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Special Permit,,,,
Bridgeport ,P4,Utility-Energy Infrastructure,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Bridgeport ,P5,Detention-Correctional Facilities,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
